"","location","geo","year","date","total_vaccinations","people_vaccinated","people_fully_vaccinated","total_boosters","daily_vaccinations_raw","daily_vaccinations","total_vaccinations_per_hundred","people_vaccinated_per_hundred","people_fully_vaccinated_per_hundred","total_boosters_per_hundred","daily_vaccinations_per_million","daily_people_vaccinated","daily_people_vaccinated_per_hundred"
"27401","High income","OWID_HIC",2021,2021-10-31,1691060854,872117681,789734853,58042195,3448204,4603501,139.19,71.78,65,4.78,3789,1044603,0.086
"27402","High income","OWID_HIC",2021,2021-11-01,1694780699,872964619,791237654,59577981,3719845,4382566,139.5,71.85,65.13,4.9,3607,977732,0.08
"27403","High income","OWID_HIC",2021,2021-11-02,1698996556,873708671,792368131,61725609,4215857,4364255,139.84,71.91,65.22,5.08,3592,948173,0.078
"27404","High income","OWID_HIC",2021,2021-11-03,1704000461,874675666,793952947,64240869,5003905,4289927,140.26,71.99,65.35,5.29,3531,926532,0.076
"27405","High income","OWID_HIC",2021,2021-11-04,1708756645,875610031,795308835,66785791,4756184,4096657,140.65,72.07,65.46,5.5,3372,862448,0.071
"27406","High income","OWID_HIC",2021,2021-11-05,1713369008,876587280,796508017,69271627,4612363,4048201,141.03,72.15,65.56,5.7,3332,846669,0.07
"27407","High income","OWID_HIC",2021,2021-11-06,1715953543,877320280,797054064,70613316,2584535,4048699,141.24,72.21,65.6,5.81,3332,884219,0.073
"27408","High income","OWID_HIC",2021,2021-11-07,1718801932,877999321,798363034,71450135,2848389,3963011,141.47,72.27,65.71,5.88,3262,840234,0.069
"27409","High income","OWID_HIC",2021,2021-11-08,1723463215,879103750,799749878,73580125,4661283,4097502,141.86,72.36,65.83,6.06,3373,877019,0.072
"27410","High income","OWID_HIC",2021,2021-11-09,1728920227,880320464,801331947,76290021,5457012,4274810,142.31,72.46,65.96,6.28,3519,944542,0.078
"27411","High income","OWID_HIC",2021,2021-11-10,1735199226,881515984,802340965,79185430,6278999,4456966,142.82,72.56,66.04,6.52,3668,977188,0.08
"27412","High income","OWID_HIC",2021,2021-11-11,1740689680,882712620,803718026,81800298,5490454,4561862,143.27,72.66,66.15,6.73,3755,1014656,0.084
"27413","High income","OWID_HIC",2021,2021-11-12,1745712506,883909109,804816635,84502486,5022826,4620500,143.69,72.75,66.24,6.96,3803,1045976,0.086
"27414","High income","OWID_HIC",2021,2021-11-13,1748603140,884795539,805347947,85994910,2890634,4664228,143.93,72.83,66.29,7.08,3839,1067894,0.088
"27415","High income","OWID_HIC",2021,2021-11-14,1751604132,885467319,806440907,86999788,3000992,4686029,144.17,72.88,66.38,7.16,3857,1066857,0.088
"27416","High income","OWID_HIC",2021,2021-11-15,1756618623,886466247,807768866,89655847,5014491,4736487,144.59,72.96,66.49,7.38,3899,1051785,0.087
"27417","High income","OWID_HIC",2021,2021-11-16,1761613899,887488112,808881633,92584151,4995276,4670525,145,73.05,66.58,7.62,3844,1023950,0.084
"27418","High income","OWID_HIC",2021,2021-11-17,1767029014,888537782,810006629,95887226,5415115,4547113,145.44,73.13,66.67,7.89,3743,1003114,0.083
"27419","High income","OWID_HIC",2021,2021-11-18,1772359850,889534482,811111851,99197145,5330836,4524310,145.88,73.22,66.76,8.16,3724,974552,0.08
"27420","High income","OWID_HIC",2021,2021-11-19,1777670927,890605663,812137033,102470332,5311077,4565489,146.32,73.31,66.85,8.43,3758,956651,0.079
"27421","High income","OWID_HIC",2021,2021-11-20,1780810744,891412589,812609192,104359389,3139817,4601086,146.58,73.37,66.89,8.59,3787,945293,0.078
"27422","High income","OWID_HIC",2021,2021-11-21,1783754131,891955028,813364894,105598317,2943387,4592857,146.82,73.42,66.95,8.69,3780,926816,0.076
"27423","High income","OWID_HIC",2021,2021-11-22,1789339080,892961578,814570117,108950184,5584949,4674351,147.28,73.5,67.05,8.97,3847,927904,0.076
"27424","High income","OWID_HIC",2021,2021-11-23,1795051682,893987514,815673260,112545412,5712602,4776826,147.75,73.58,67.14,9.26,3932,928486,0.076
"27425","High income","OWID_HIC",2021,2021-11-24,1800200072,894887638,816607384,116003896,5148390,4738723,148.17,73.66,67.21,9.55,3900,907122,0.075
"27426","High income","OWID_HIC",2021,2021-11-25,1805122331,895484489,817569323,119409273,4922259,4680354,148.58,73.71,67.29,9.83,3852,850001,0.07
"27427","High income","OWID_HIC",2021,2021-11-26,1810460211,896294255,818651177,122785982,5337880,4684183,149.02,73.77,67.38,10.11,3856,812656,0.067
"27428","High income","OWID_HIC",2021,2021-11-27,1814555340,896975928,819286970,125522890,4095129,4820657,149.35,73.83,67.43,10.33,3968,794763,0.065
"27429","High income","OWID_HIC",2021,2021-11-28,1817647577,897524399,820269103,126984551,3092237,4841921,149.61,73.87,67.52,10.45,3985,795624,0.065
"27430","High income","OWID_HIC",2021,2021-11-29,1824214928,898449133,822021946,131005229,6567351,4982264,150.15,73.95,67.66,10.78,4101,783936,0.065
"27431","High income","OWID_HIC",2021,2021-11-30,1834504139,901243645,825532072,135330343,10289211,5636065,151,74.18,67.95,11.14,4639,1036590,0.085
"27432","High income","OWID_HIC",2021,2021-12-01,1841581596,902212780,826718018,140317207,7077457,5911646,151.58,74.26,68.05,11.55,4866,1046449,0.086
"27433","High income","OWID_HIC",2021,2021-12-02,1848718641,903187135,827901422,145360659,7137045,6228044,152.17,74.34,68.14,11.96,5126,1100378,0.091
"27434","High income","OWID_HIC",2021,2021-12-03,1856788861,904162743,829293850,151161884,8070220,6618379,152.83,74.42,68.26,12.44,5448,1124070,0.093
"27435","High income","OWID_HIC",2021,2021-12-04,1862013884,904848069,830200799,154800931,5225023,6779792,153.26,74.48,68.33,12.74,5580,1124592,0.093
"27436","High income","OWID_HIC",2021,2021-12-05,1865405442,905412367,830986059,156559394,3391558,6822552,153.54,74.52,68.4,12.89,5616,1126853,0.093
"27437","High income","OWID_HIC",2021,2021-12-06,1872194852,906399063,832117156,161276038,6789410,6854275,154.1,74.61,68.49,13.27,5642,1135704,0.093
"27438","High income","OWID_HIC",2021,2021-12-07,1879226995,907229510,833132458,166106731,7032143,6388979,154.68,74.67,68.57,13.67,5259,855124,0.07
"27439","High income","OWID_HIC",2021,2021-12-08,1886374622,908161293,834285385,171192300,7147627,6399004,155.27,74.75,68.67,14.09,5267,849788,0.07
"27440","High income","OWID_HIC",2021,2021-12-09,1893762467,909083061,835308422,176637798,7387845,6434832,155.87,74.83,68.75,14.54,5296,842275,0.069
"27441","High income","OWID_HIC",2021,2021-12-10,1901894829,910015051,836438710,182764718,8132362,6443710,156.54,74.9,68.85,15.04,5304,836044,0.069
"27442","High income","OWID_HIC",2021,2021-12-11,1907652510,910604681,837190011,187206385,5757681,6519804,157.02,74.95,68.91,15.41,5366,822373,0.068
"27443","High income","OWID_HIC",2021,2021-12-12,1914017491,911135270,837804553,192071082,6364981,6944578,157.54,74.99,68.96,15.81,5716,817558,0.067
"27444","High income","OWID_HIC",2021,2021-12-13,1921280487,911994772,838716133,197526020,7262996,7012234,158.14,75.07,69.03,16.26,5772,799387,0.066
"27445","High income","OWID_HIC",2021,2021-12-14,1929730257,912868902,839683200,205922846,8449770,7214752,158.83,75.14,69.11,16.95,5938,805627,0.066
"27446","High income","OWID_HIC",2021,2021-12-15,1938610349,913796420,840643007,213004072,8880092,7462247,159.57,75.21,69.19,17.53,6142,805018,0.066
"27447","High income","OWID_HIC",2021,2021-12-16,1947826221,914794396,841661204,220268955,9215872,7723393,160.32,75.3,69.28,18.13,6357,815905,0.067
"27448","High income","OWID_HIC",2021,2021-12-17,1956631259,915758485,842607648,227312806,8805038,7819490,161.05,75.38,69.35,18.71,6436,820491,0.068
"27449","High income","OWID_HIC",2021,2021-12-18,1963326937,916462449,843195443,232791580,6695678,7953490,161.6,75.43,69.4,19.16,6546,836824,0.069
"27450","High income","OWID_HIC",2021,2021-12-19,1967992259,917305959,843553843,235906152,4665322,7710681,161.98,75.5,69.43,19.42,6347,881527,0.073
"27451","High income","OWID_HIC",2021,2021-12-20,1976417651,918315708,844431865,242070734,8425392,7876738,162.68,75.59,69.5,19.92,6483,902991,0.074
"27452","High income","OWID_HIC",2021,2021-12-21,1983970455,919076969,845130839,248796155,7552804,7748600,163.3,75.65,69.56,20.48,6378,886867,0.073
"27453","High income","OWID_HIC",2021,2021-12-22,1986488796,919334572,845408947,250599355,2518341,6839778,163.51,75.67,69.58,20.63,5630,791165,0.065
"36833","Low income","OWID_LIC",2021,2021-02-15,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA
"36834","Low income","OWID_LIC",2021,2021-02-16,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,0
"36835","Low income","OWID_LIC",2021,2021-02-17,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,0
"36836","Low income","OWID_LIC",2021,2021-02-18,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,0
"36837","Low income","OWID_LIC",2021,2021-02-19,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,0
"36838","Low income","OWID_LIC",2021,2021-02-20,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,0
"36839","Low income","OWID_LIC",2021,2021-02-21,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,0
"36840","Low income","OWID_LIC",2021,2021-02-22,0,0,NA,NA,NA,0,0,0,NA,NA,0,0,0
"36841","Low income","OWID_LIC",2021,2021-02-23,NA,NA,NA,NA,NA,195,NA,NA,NA,NA,0,195,0
"36842","Low income","OWID_LIC",2021,2021-02-24,NA,NA,NA,NA,NA,390,NA,NA,NA,NA,1,390,0
"36843","Low income","OWID_LIC",2021,2021-02-25,NA,NA,NA,NA,NA,586,NA,NA,NA,NA,1,586,0
"36844","Low income","OWID_LIC",2021,2021-02-26,NA,NA,NA,NA,NA,781,NA,NA,NA,NA,1,781,0
"36845","Low income","OWID_LIC",2021,2021-02-27,NA,NA,NA,NA,NA,976,NA,NA,NA,NA,1,976,0
"36846","Low income","OWID_LIC",2021,2021-02-28,8200,8200,NA,NA,NA,1171,0,0,NA,NA,2,1171,0
"36847","Low income","OWID_LIC",2021,2021-03-01,8200,8200,NA,NA,0,1171,0,0,NA,NA,2,1171,0
"36848","Low income","OWID_LIC",2021,2021-03-02,NA,NA,NA,NA,NA,3657,NA,NA,NA,NA,5,3657,0.001
"36849","Low income","OWID_LIC",2021,2021-03-03,NA,NA,NA,NA,NA,6142,NA,NA,NA,NA,9,6142,0.001
"36850","Low income","OWID_LIC",2021,2021-03-04,NA,NA,NA,NA,NA,8627,NA,NA,NA,NA,13,8627,0.001
"36851","Low income","OWID_LIC",2021,2021-03-05,83256,83256,NA,NA,NA,11113,0.01,0.01,NA,NA,17,11113,0.002
"36852","Low income","OWID_LIC",2021,2021-03-06,167098,167098,NA,NA,83842,22895,0.03,0.03,NA,NA,34,22895,0.003
"36853","Low income","OWID_LIC",2021,2021-03-07,206653,206653,NA,NA,39555,28350,0.03,0.03,NA,NA,43,28350,0.004
"36854","Low income","OWID_LIC",2021,2021-03-08,216877,216877,NA,NA,10224,29811,0.03,0.03,NA,NA,45,29811,0.004
"36855","Low income","OWID_LIC",2021,2021-03-09,228248,228248,NA,NA,11371,28755,0.03,0.03,NA,NA,43,28755,0.004
"36856","Low income","OWID_LIC",2021,2021-03-10,237154,237154,NA,NA,8906,27347,0.04,0.04,NA,NA,41,27347,0.004
"36857","Low income","OWID_LIC",2021,2021-03-11,247142,247142,NA,NA,9988,26093,0.04,0.04,NA,NA,39,26093,0.004
"36858","Low income","OWID_LIC",2021,2021-03-12,258289,258289,NA,NA,11147,25005,0.04,0.04,NA,NA,38,25005,0.004
"36859","Low income","OWID_LIC",2021,2021-03-13,309392,309392,NA,NA,51103,20328,0.05,0.05,NA,NA,31,20328,0.003
"36860","Low income","OWID_LIC",2021,2021-03-14,313303,313303,NA,NA,3911,15236,0.05,0.05,NA,NA,23,15236,0.002
"36861","Low income","OWID_LIC",2021,2021-03-15,371495,371495,NA,NA,58192,22088,0.06,0.06,NA,NA,33,22088,0.003
"36862","Low income","OWID_LIC",2021,2021-03-16,422831,422831,NA,NA,51336,27798,0.06,0.06,NA,NA,42,27798,0.004
"36863","Low income","OWID_LIC",2021,2021-03-17,435474,435474,NA,NA,12643,28331,0.07,0.07,NA,NA,43,28331,0.004
"36864","Low income","OWID_LIC",2021,2021-03-18,446301,446301,NA,NA,10827,28451,0.07,0.07,NA,NA,43,28451,0.004
"36865","Low income","OWID_LIC",2021,2021-03-19,462718,487981,NA,NA,16417,29204,0.07,0.07,NA,NA,44,32813,0.005
"36866","Low income","OWID_LIC",2021,2021-03-20,468128,493391,NA,NA,5410,22677,0.07,0.07,NA,NA,34,26286,0.004
"36867","Low income","OWID_LIC",2021,2021-03-21,483054,508317,NA,NA,14926,24250,0.07,0.08,NA,NA,36,27859,0.004
"36868","Low income","OWID_LIC",2021,2021-03-22,490432,515695,NA,NA,7378,16991,0.07,0.08,NA,NA,26,20600,0.003
"36869","Low income","OWID_LIC",2021,2021-03-23,526358,560536,NA,NA,35926,14790,0.08,0.08,NA,NA,22,19672,0.003
"36870","Low income","OWID_LIC",2021,2021-03-24,603107,637285,NA,NA,76749,23948,0.09,0.1,NA,NA,36,28830,0.004
"36871","Low income","OWID_LIC",2021,2021-03-25,614297,648475,NA,NA,11190,23999,0.09,0.1,NA,NA,36,28882,0.004
"36872","Low income","OWID_LIC",2021,2021-03-26,649767,683945,NA,NA,35470,26721,0.1,0.1,NA,NA,40,27995,0.004
"36873","Low income","OWID_LIC",2021,2021-03-27,682661,716839,NA,NA,32894,30648,0.1,0.11,NA,NA,46,31921,0.005
"36874","Low income","OWID_LIC",2021,2021-03-28,699634,733812,NA,NA,16973,30940,0.11,0.11,NA,NA,47,32214,0.005
"36875","Low income","OWID_LIC",2021,2021-03-29,710769,744947,NA,NA,11135,31477,0.11,0.11,NA,NA,47,32750,0.005
"36876","Low income","OWID_LIC",2021,2021-03-30,746797,780975,NA,NA,36028,31491,0.11,0.12,NA,NA,47,31491,0.005
"36877","Low income","OWID_LIC",2021,2021-03-31,826687,824035,2652,NA,79890,31940,0.12,0.12,0,NA,48,26679,0.004
"36878","Low income","OWID_LIC",2021,2021-04-01,837377,834725,2652,NA,10690,31869,0.13,0.13,0,NA,48,26607,0.004
"36879","Low income","OWID_LIC",2021,2021-04-02,847842,845190,2652,NA,10465,28296,0.13,0.13,0,NA,43,23035,0.003
"36880","Low income","OWID_LIC",2021,2021-04-03,NA,NA,NA,NA,NA,26755,NA,NA,NA,NA,40,21954,0.003
"36881","Low income","OWID_LIC",2021,2021-04-04,892053,895847,2652,NA,NA,27488,0.13,0.13,0,NA,41,23148,0.003
"36882","Low income","OWID_LIC",2021,2021-04-05,944476,949517,2652,NA,52423,33387,0.14,0.14,0,NA,50,29224,0.004
"36883","Low income","OWID_LIC",2021,2021-04-06,982769,987987,2652,NA,38293,33710,0.15,0.15,0,NA,51,29573,0.004
"36884","Low income","OWID_LIC",2021,2021-04-07,1087725,1078166,9559,NA,104956,37291,0.16,0.16,0,NA,56,36304,0.005
"36885","Low income","OWID_LIC",2021,2021-04-08,1573864,1566489,9559,NA,486139,105212,0.24,0.24,0,NA,158,104538,0.016
"36886","Low income","OWID_LIC",2021,2021-04-09,1606819,1601399,9559,NA,32955,108425,0.24,0.24,0,NA,163,108030,0.016
"36887","Low income","OWID_LIC",2021,2021-04-10,1663914,1659090,9681,NA,57095,113424,0.25,0.25,0,NA,171,112653,0.017
"36888","Low income","OWID_LIC",2021,2021-04-11,1677449,1672625,9681,NA,13535,112199,0.25,0.25,0,NA,169,110968,0.017
"36889","Low income","OWID_LIC",2021,2021-04-12,1714184,1711377,9681,NA,36735,109958,0.26,0.26,0,NA,165,108837,0.016
"36890","Low income","OWID_LIC",2021,2021-04-13,1757445,1754638,9681,NA,43261,110668,0.26,0.26,0,NA,166,109522,0.016
"36891","Low income","OWID_LIC",2021,2021-04-14,1787893,1784547,10435,NA,30448,100024,0.27,0.27,0,NA,150,100912,0.015
"36892","Low income","OWID_LIC",2021,2021-04-15,1815158,1788345,26813,NA,27265,34471,0.27,0.27,0,NA,52,31694,0.005
"36893","Low income","OWID_LIC",2021,2021-04-16,1836127,1806479,29648,NA,20969,32758,0.28,0.27,0,NA,49,29297,0.004
"36894","Low income","OWID_LIC",2021,2021-04-17,2019883,1990235,29648,NA,183756,50853,0.3,0.3,0,NA,76,47306,0.007
"36895","Low income","OWID_LIC",2021,2021-04-18,2033372,2003724,29648,NA,13489,50846,0.31,0.3,0,NA,76,47300,0.007
"36896","Low income","OWID_LIC",2021,2021-04-19,2043257,2011708,31549,NA,9885,47010,0.31,0.3,0,NA,71,42904,0.006
"36897","Low income","OWID_LIC",2021,2021-04-20,2055178,2022135,33043,NA,11921,42533,0.31,0.3,0,NA,64,38214,0.006
"36898","Low income","OWID_LIC",2021,2021-04-21,2075066,2040496,34570,NA,19888,41025,0.31,0.31,0.01,NA,62,36564,0.005
"36899","Low income","OWID_LIC",2021,2021-04-22,2206816,2167822,38994,NA,131750,55951,0.33,0.33,0.01,NA,84,54211,0.008
"36900","Low income","OWID_LIC",2021,2021-04-23,2247033,2208039,38994,NA,40217,58701,0.34,0.33,0.01,NA,88,57366,0.009
"36901","Low income","OWID_LIC",2021,2021-04-24,2264053,2222754,41299,NA,17020,34881,0.34,0.33,0.01,NA,52,33217,0.005
"36902","Low income","OWID_LIC",2021,2021-04-25,2302526,2257688,44838,NA,38473,38451,0.35,0.34,0.01,NA,58,36281,0.005
"36903","Low income","OWID_LIC",2021,2021-04-26,2343315,2296725,46590,NA,40789,42865,0.35,0.35,0.01,NA,64,40717,0.006
"36904","Low income","OWID_LIC",2021,2021-04-27,2369308,2319951,49357,NA,25993,44876,0.36,0.35,0.01,NA,67,42545,0.006
"36905","Low income","OWID_LIC",2021,2021-04-28,3027451,2976424,51027,NA,658143,136055,0.46,0.45,0.01,NA,205,133704,0.02
"36906","Low income","OWID_LIC",2021,2021-04-29,3063254,3010675,52579,NA,35803,122348,0.46,0.45,0.01,NA,184,120408,0.018
"36907","Low income","OWID_LIC",2021,2021-04-30,3086332,3032408,53924,NA,23078,119900,0.46,0.46,0.01,NA,180,117767,0.018
"36908","Low income","OWID_LIC",2021,2021-05-01,3117700,3063454,54246,NA,31368,121950,0.47,0.46,0.01,NA,183,120100,0.018
"36909","Low income","OWID_LIC",2021,2021-05-02,3132122,3077876,54246,NA,14422,118514,0.47,0.46,0.01,NA,178,117170,0.018
"36910","Low income","OWID_LIC",2021,2021-05-03,3184290,3128414,55876,NA,52168,120139,0.48,0.47,0.01,NA,181,118813,0.018
"36911","Low income","OWID_LIC",2021,2021-05-04,3222754,3166184,56570,NA,38464,121921,0.48,0.48,0.01,NA,183,120890,0.018
"36912","Low income","OWID_LIC",2021,2021-05-05,3263171,3205550,59312,NA,40417,33674,0.49,0.48,0.01,NA,51,32732,0.005
"36913","Low income","OWID_LIC",2021,2021-05-06,3324539,3265297,60933,NA,61368,37326,0.5,0.49,0.01,NA,56,36375,0.005
"36914","Low income","OWID_LIC",2021,2021-05-07,3382267,3320747,63211,NA,57728,42276,0.51,0.5,0.01,NA,64,41191,0.006
"36915","Low income","OWID_LIC",2021,2021-05-08,3449574,3335975,113599,NA,67307,47411,0.52,0.5,0.02,NA,71,38932,0.006
"36916","Low income","OWID_LIC",2021,2021-05-09,3480221,3366622,113599,NA,30647,49728,0.52,0.51,0.02,NA,75,41249,0.006
"36917","Low income","OWID_LIC",2021,2021-05-10,3486250,3372651,113599,NA,6029,43137,0.52,0.51,0.02,NA,65,34891,0.005
"36918","Low income","OWID_LIC",2021,2021-05-11,3853603,3681881,171722,NA,367353,90121,0.58,0.55,0.03,NA,135,73671,0.011
"36919","Low income","OWID_LIC",2021,2021-05-12,4323426,4085621,237805,NA,469823,151465,0.65,0.61,0.04,NA,228,125724,0.019
"36920","Low income","OWID_LIC",2021,2021-05-13,4356078,4118273,237805,NA,32652,147363,0.65,0.62,0.04,NA,222,121854,0.018
"36921","Low income","OWID_LIC",2021,2021-05-14,4414078,4163209,250869,NA,58000,147402,0.66,0.63,0.04,NA,222,120352,0.018
"36922","Low income","OWID_LIC",2021,2021-05-15,4434523,4183654,250869,NA,20445,140707,0.67,0.63,0.04,NA,212,121097,0.018
"36923","Low income","OWID_LIC",2021,2021-05-16,4464063,4213194,250869,NA,29540,140549,0.67,0.63,0.04,NA,211,120939,0.018
"36924","Low income","OWID_LIC",2021,2021-05-17,4508986,4252060,256926,NA,44923,146105,0.68,0.64,0.04,NA,220,125630,0.019
"36925","Low income","OWID_LIC",2021,2021-05-18,4616160,4343123,273037,NA,107174,108937,0.69,0.65,0.04,NA,164,94463,0.014
"36926","Low income","OWID_LIC",2021,2021-05-19,4666904,4388591,278313,NA,50744,49068,0.7,0.66,0.04,NA,74,43281,0.007
"36927","Low income","OWID_LIC",2021,2021-05-20,4747375,4446653,300722,NA,80471,55900,0.71,0.67,0.05,NA,84,46911,0.007
"36928","Low income","OWID_LIC",2021,2021-05-21,4851583,4548840,302743,NA,104208,62501,0.73,0.68,0.05,NA,94,55090,0.008
"36929","Low income","OWID_LIC",2021,2021-05-22,4891791,4586774,305017,NA,40208,65324,0.74,0.69,0.05,NA,98,57589,0.009
"36930","Low income","OWID_LIC",2021,2021-05-23,4974147,4664125,310022,NA,82356,72869,0.75,0.7,0.05,NA,110,64419,0.01
"36931","Low income","OWID_LIC",2021,2021-05-24,5061068,4728258,332810,NA,86921,78869,0.76,0.71,0.05,NA,119,68028,0.01
"36932","Low income","OWID_LIC",2021,2021-05-25,5107635,4774435,333200,NA,46567,70211,0.77,0.72,0.05,NA,106,61616,0.009
"36933","Low income","OWID_LIC",2021,2021-05-26,5256994,4870041,363359,NA,149359,84299,0.79,0.73,0.05,NA,127,68779,0.01
"36934","Low income","OWID_LIC",2021,2021-05-27,5344058,4941633,366958,NA,87064,85240,0.8,0.74,0.06,NA,128,70711,0.011
"36935","Low income","OWID_LIC",2021,2021-05-28,5362445,4960020,366958,NA,18387,72980,0.81,0.75,0.06,NA,110,58740,0.009
"36936","Low income","OWID_LIC",2021,2021-05-29,5508874,5084127,370392,NA,146429,88155,0.83,0.76,0.06,NA,133,71050,0.011
"36937","Low income","OWID_LIC",2021,2021-05-30,5789302,5269004,414510,NA,280428,116451,0.87,0.79,0.06,NA,175,86411,0.013
"36938","Low income","OWID_LIC",2021,2021-05-31,6067169,5464957,471386,NA,277867,143729,0.91,0.82,0.07,NA,216,105243,0.016
"36939","Low income","OWID_LIC",2021,2021-06-01,6081478,5474577,471386,NA,14309,139120,0.91,0.82,0.07,NA,209,100020,0.015
"36940","Low income","OWID_LIC",2021,2021-06-02,6214389,5543513,505819,NA,132911,136771,0.93,0.83,0.08,NA,206,96210,0.014
"36941","Low income","OWID_LIC",2021,2021-06-03,6238327,5563428,509842,NA,23938,127753,0.94,0.84,0.08,NA,192,88828,0.013
"36942","Low income","OWID_LIC",2021,2021-06-04,6251026,5576127,509842,NA,12699,126940,0.94,0.84,0.08,NA,191,88015,0.013
"36943","Low income","OWID_LIC",2021,2021-06-05,6305485,5588536,509842,NA,54459,113802,0.95,0.84,0.08,NA,171,72058,0.011
"36944","Low income","OWID_LIC",2021,2021-06-06,6536406,5640965,688334,NA,230921,106729,0.98,0.85,0.1,NA,160,53137,0.008
"36945","Low income","OWID_LIC",2021,2021-06-07,6703129,5786055,709967,NA,166723,90851,1.01,0.87,0.11,NA,137,45871,0.007
"36946","Low income","OWID_LIC",2021,2021-06-08,6903247,5925818,761334,NA,200118,117396,1.04,0.89,0.11,NA,176,64463,0.01
"36947","Low income","OWID_LIC",2021,2021-06-09,6919426,5938869,764462,NA,16179,100720,1.04,0.89,0.11,NA,151,56479,0.008
"36948","Low income","OWID_LIC",2021,2021-06-10,7073960,6038698,799026,NA,154534,119376,1.06,0.91,0.12,NA,179,67896,0.01
"36949","Low income","OWID_LIC",2021,2021-06-11,7092123,6053601,802286,NA,18163,120157,1.07,0.91,0.12,NA,181,68211,0.01
"36950","Low income","OWID_LIC",2021,2021-06-12,7119475,6064557,810327,NA,27352,116284,1.07,0.91,0.12,NA,175,68003,0.01
"36951","Low income","OWID_LIC",2021,2021-06-13,7140516,6067961,810327,NA,21041,86301,1.07,0.91,0.12,NA,130,60999,0.009
"36952","Low income","OWID_LIC",2021,2021-06-14,7308792,6186025,858207,NA,168276,86523,1.1,0.93,0.13,NA,130,57139,0.009
"36953","Low income","OWID_LIC",2021,2021-06-15,7393887,6249065,874273,NA,85095,70091,1.11,0.94,0.13,NA,105,46178,0.007
"36954","Low income","OWID_LIC",2021,2021-06-16,7431716,6273404,878222,NA,37829,73184,1.12,0.94,0.13,NA,110,47791,0.007
"36955","Low income","OWID_LIC",2021,2021-06-17,7459455,6283352,896013,NA,27739,55071,1.12,0.94,0.13,NA,83,34951,0.005
"36956","Low income","OWID_LIC",2021,2021-06-18,7478934,6295826,903018,NA,19479,55259,1.12,0.95,0.14,NA,83,34604,0.005
"36957","Low income","OWID_LIC",2021,2021-06-19,7496396,6299653,907166,NA,17462,53846,1.13,0.95,0.14,NA,81,33585,0.005
"36958","Low income","OWID_LIC",2021,2021-06-20,7677885,6445996,939187,NA,181489,76767,1.15,0.97,0.14,NA,115,54005,0.008
"36959","Low income","OWID_LIC",2021,2021-06-21,7738557,6489152,956703,NA,60672,61395,1.16,0.98,0.14,NA,92,43304,0.007
"36960","Low income","OWID_LIC",2021,2021-06-22,7923016,6626114,996842,NA,184459,75590,1.19,1,0.15,NA,114,53864,0.008
"36961","Low income","OWID_LIC",2021,2021-06-23,7988641,6637497,1014181,NA,65625,79561,1.2,1,0.15,NA,120,52013,0.008
"36962","Low income","OWID_LIC",2021,2021-06-24,8127114,6732710,1057441,NA,138473,95380,1.22,1.01,0.16,NA,143,64194,0.01
"36963","Low income","OWID_LIC",2021,2021-06-25,8127812,6733185,1057664,NA,698,92697,1.22,1.01,0.16,NA,139,62480,0.009
"36964","Low income","OWID_LIC",2021,2021-06-26,8140163,6733857,1058150,NA,12351,91967,1.22,1.01,0.16,NA,138,62029,0.009
"36965","Low income","OWID_LIC",2021,2021-06-27,8236141,6820069,1067705,NA,95978,79751,1.24,1.03,0.16,NA,120,53439,0.008
"36966","Low income","OWID_LIC",2021,2021-06-28,8377096,6895606,1095295,NA,140955,91220,1.26,1.04,0.16,NA,137,58065,0.009
"36967","Low income","OWID_LIC",2021,2021-06-29,8427934,6922820,1113299,NA,50838,72131,1.27,1.04,0.17,NA,108,42387,0.006
"36968","Low income","OWID_LIC",2021,2021-06-30,8492809,6982711,1117735,NA,64875,72024,1.28,1.05,0.17,NA,108,49316,0.007
"36969","Low income","OWID_LIC",2021,2021-07-01,8625019,6985664,1117735,NA,132210,71129,1.3,1.05,0.17,NA,107,36136,0.005
"36970","Low income","OWID_LIC",2021,2021-07-02,8632664,6993309,1117735,NA,7645,72122,1.3,1.05,0.17,NA,108,37161,0.006
"36971","Low income","OWID_LIC",2021,2021-07-03,8679383,7001476,1120153,NA,46719,77031,1.3,1.05,0.17,NA,116,38231,0.006
"36972","Low income","OWID_LIC",2021,2021-07-04,8841381,7068117,1184452,NA,161998,86463,1.33,1.06,0.18,NA,130,35435,0.005
"36973","Low income","OWID_LIC",2021,2021-07-05,8989611,7134531,1260144,NA,148230,87502,1.35,1.07,0.19,NA,132,34132,0.005
"36974","Low income","OWID_LIC",2021,2021-07-06,9082778,7188689,1299153,NA,93167,93549,1.37,1.08,0.2,NA,141,37981,0.006
"36975","Low income","OWID_LIC",2021,2021-07-07,9125223,7210002,1320285,NA,42445,90345,1.37,1.08,0.2,NA,136,32470,0.005
